,Expected return,Beta,CAPM,Volatility,Cumulative Return,Annualized Return
CDM,-0.07218344578616347,0.6654536273730182,0.008420220634097128,2.4938521900926474,-43.936170212765916,-22.854658113164394
CFG,-0.1510060278686787,1.5386837067161654,-0.037481393324603283,1.5066525242976894,-28.108108108107988,-33.61263845187706
CIH,-0.012899836447130922,0.8903516130309651,-0.0034016127657848644,1.7643135327010766,-26.051980198020143,-6.904844000611854
